year;state_name;prom_crimenes
1992;california;374868.012987013
1991;california;374094.4727272727
1993;california;366412.91708291706
1989;california;357391.2727272727
1990;california;357315.8181818182
1994;california;352819.3171545968
1988;california;339834.9090909091
1980;california;335151.2727272727
1995;california;334907.83972794766
1981;california;333415.8181818182
1986;california;331758.0
1982;california;327501.0909090909
1987;california;327249.2727272727
1985;california;312449.63636363635
1979;california;308201.45454545453
1983;california;305632.36363636365
1996;california;301843.38011695904
1984;california;301330.9090909091
1997;california;285446.6255399434
2003;california;258298.8544342885
1998;california;257941.98341909662
2004;california;257522.89408079357
2005;california;252857.3941370224
2002;california;251796.12146954986
1991;texas;246642.3990430622
2006;california;246268.7590944137
2001;california;244920.51671658707
1989;texas;244884.72727272726
1988;texas;244612.54545454544
1990;texas;241726.18181818182
2007;california;237105.17603896104
1987;texas;235730.72727272726
2000;california;230312.85870022926
2008;california;230242.22747006972
1999;california;229303.80815336536
1992;texas;226573.65787504677
1986;texas;224694.9090909091
1981;new york;220897.27272727274
2012;california;220075.62737262738
1980;new york;219997.0909090909
2015;california;217540.8082980341
2009;california;215340.75611716378
2016;california;214898.005468216
2013;california;214069.97311595766
2017;california;211939.38474322754
1993;texas;211097.85720514497
1994;florida;209295.97960917588
2010;california;208378.0139027639
1990;new york;208158.9090909091
1993;florida;207699.13198934955
1982;new york;207673.0909090909
1990;florida;207260.72727272726
2003;texas;207088.60626959248
1991;florida;206329.63636363635
2004;texas;205866.01683501684
2002;texas;205508.97455605617
1989;new york;205388.72727272726
1988;new york;205316.54545454544
2011;california;205231.2048076923
1991;new york;205028.51817217778
1992;florida;204975.72263172263
2018;california;203319.00785317968
2009;texas;203049.52727272728
1989;florida;202839.45454545456
2005;texas;202071.05681818182
2007;texas;201353.0909090909
1988;florida;201129.45454545456
2014;california;200937.74571805008
2001;texas;199784.74582985824
2019;california;199186.33327362293
1979;new york;199116.36363636365
2008;texas;198810.4107471476
1996;texas;198547.09246753246
1995;florida;198364.64966740579
2006;texas;196628.1313131313
1996;florida;196296.2780748663
1994;texas;196224.1601494396
1985;texas;195508.18181818182
1997;florida;193748.3507516106
1997;texas;193702.67509413665
2010;texas;193542.4681295716
1995;texas;193516.88482989403
1992;new york;192999.08003597122
1987;new york;192912.9090909091
1983;new york;189602.0
2000;texas;187875.95723788405
1998;florida;186750.8318943626
1986;new york;186370.36363636365
1987;florida;185879.0909090909
2020;california;184742.99667322967
1993;new york;183669.43108818377
1998;texas;183648.9087888855
1999;texas;183377.09955063948
2011;texas;181372.93701723113
1985;new york;180692.9090909091
1984;new york;179841.0909090909
2012;texas;178716.60415584416
2013;texas;177246.96030729832
1984;texas;175296.0
1982;texas;175086.72727272726
1986;florida;174666.18181818182
1999;florida;170495.37354750512
2014;texas;168949.07364787112
1983;texas;168883.27272727274
1994;new york;167506.12164454645
2001;florida;166042.94400963275
2000;florida;165483.74545454545
2002;florida;164720.68022638842
2015;texas;163453.52537292274
2016;texas;163210.78711200072
1981;texas;162313.27272727274
2008;florida;160936.72905525847
2003;florida;160360.4891774892
2007;florida;159660.65334063527
1980;texas;158265.0909090909
1985;florida;156525.27272727274
2004;florida;154709.43729263436
2006;florida;154674.48569023568
2017;texas;154467.05796765347
2005;florida;152538.4329004329
1995;new york;150369.19601936525
2009;florida;150101.34335664337
2019;texas;149407.60340393105
1981;florida;148468.9090909091
1980;florida;146150.0
2018;texas;145691.0837999054
1979;texas;144199.45454545456
2020;texas;144117.93079473983
1982;florida;141377.63636363635
2010;florida;140183.64104278074
2011;florida;139891.69179600885
1996;new york;136629.39353669586
1984;florida;136127.0909090909
2012;florida;132196.63510101012
1983;florida;131677.45454545456
1980;illinois;129429.09090909091
1997;new york;128969.89257167219
1991;illinois;128696.34731934732
2013;florida;127554.8449197861
1981;illinois;127372.36363636363
1979;florida;123847.63636363637
2014;florida;123433.91452077334
1990;illinois;123348.36363636363
1979;illinois;123143.63636363637
1992;illinois;121922.02765295541
1982;illinois;121563.27272727272
2015;florida;121199.97727272728
1994;illinois;120210.28756181058
1989;illinois;119529.81818181818
1993;illinois;119479.24393530998
1998;new york;118583.29908622307
1988;illinois;117976.90909090909
2016;florida;117531.21875
1995;illinois;117348.11457036114
1986;illinois;116684.54545454546
1983;illinois;115724.72727272728
1981;michigan;114661.81818181818
1996;illinois;114593.90752351098
1987;illinois;114062.18181818182
1982;michigan;112363.81818181818
1980;michigan;112011.81818181818
2017;florida;111406.82257053292
1985;illinois;111391.45454545454
1997;illinois;111199.33038348083
1984;illinois;111011.81818181818
1999;new york;108499.88151001542
1984;michigan;108174.18181818182
1987;michigan;108004.72727272728
1986;michigan;107935.27272727272
2000;new york;106944.65026913876
1983;michigan;106807.81818181818
1981;ohio;106728.54545454546
1998;illinois;106402.51329176239
1980;ohio;106324.90909090909
1985;michigan;105193.81818181818
1991;michigan;104547.81818181818
2018;florida;103448.66278122773
1979;michigan;102911.81818181818
1988;michigan;102881.27272727272
1990;michigan;101314.90909090909
2001;new york;101096.66662410623
1989;michigan;100625.81818181818
1991;ohio;100102.99318181818
1979;ohio;100087.45454545454
1999;illinois;99557.60250276039
2019;florida;98800.07371007372
2002;new york;97659.61038961039
1982;ohio;96835.27272727272
1992;michigan;96269.09538002982
2000;illinois;95723.78589170393
1990;ohio;95522.36363636363
2003;new york;94831.0663349917
1994;michigan;94015.18326118325
1993;michigan;93962.73680351906
1989;ohio;93864.0
1992;ohio;93446.91341991341
2001;illinois;93440.94487427466
2004;new york;92300.73999057937
2002;illinois;92044.56386651323
1988;ohio;91824.36363636363
1997;ohio;91774.93825042882
1996;ohio;90515.98795648797
1993;ohio;90449.28566433566
1994;ohio;90057.60453272218
1995;michigan;89983.48157248157
1987;ohio;89709.09090909091
2005;new york;89424.49470609712
1995;ohio;89314.47197539303
1996;michigan;89268.6335337814
2003;illinois;88412.4562937063
1998;ohio;88195.07015032212
1983;ohio;88022.0
2006;new york;87745.33507488681
1997;michigan;87379.09719222462
2001;ohio;86390.0743801653
2004;illinois;85974.18181818181
1980;new jersey;85453.81818181818
2020;florida;85450.0198615125
2002;ohio;85292.87032590051
1986;ohio;85208.54545454546
2008;new york;84754.80661157025
2005;illinois;84577.10064935066
2006;ohio;84514.83964232489
1996;georgia;84356.05194805194
2007;new york;84289.47207009858
2005;ohio;83795.28795811518
1998;michigan;83586.57699443413
1984;ohio;83534.72727272728
2000;ohio;83432.78930481283
2004;ohio;83296.68798151001
1981;new jersey;83157.63636363637
2006;illinois;83087.83391608392
2010;new york;82947.02419040186
2003;ohio;82849.89120715352
1989;georgia;82768.18181818182
2012;new york;82692.70454545454
2009;new york;82300.8071195575
1999;ohio;81797.62337662338
1985;ohio;81796.72727272728
2011;new york;81692.21367806505
2008;illinois;81116.65454545454
2007;illinois;81065.05552531302
1980;pennsylvania;80326.0
2007;ohio;79717.65121806298
1990;georgia;79665.63636363637
2013;new york;79538.06991869918
1981;pennsylvania;79450.18181818182
2008;georgia;79141.25
1997;georgia;78830.81414141414
1992;georgia;78624.77272727274
1995;georgia;78605.12244897959
2008;ohio;78565.44942381563
1991;georgia;78193.6324110672
1996;pennsylvania;77956.88514412417
1993;georgia;77886.02909090908
1979;new jersey;77593.63636363637
1999;michigan;77564.13967343335
1991;pennsylvania;77389.75976370201
1994;georgia;77097.33868092693
1982;new jersey;76762.0
1991;new jersey;76631.88499084809
1990;new jersey;76560.0
2005;georgia;76230.08556149733
2007;georgia;76031.23076923077
2009;illinois;75916.49048625793
1998;georgia;75906.56684491978
2014;new york;75863.39115929941
2004;georgia;75796.40125391849
2008;north carolina;75617.58870967742
2011;ohio;75599.44181818182
2009;ohio;75410.45424542454
2010;ohio;75117.94184762606
1990;pennsylvania;75094.18181818182
1997;pennsylvania;74994.62855549357
2007;north carolina;74932.79636363637
1979;pennsylvania;74554.0
1982;pennsylvania;74485.45454545454
2003;georgia;74369.21739130435
1988;new jersey;74327.27272727272
2000;michigan;74265.94003868473
2001;michigan;74142.4514603044
1997;north carolina;74136.59090909091
1989;new jersey;74116.90909090909
2006;georgia;74086.03496503497
1992;pennsylvania;74081.36363636363
2006;north carolina;73935.51
1995;pennsylvania;73857.5937900128
2010;illinois;73855.14796905222
1995;north carolina;73776.61888111888
2012;ohio;73685.19696969698
1988;georgia;73630.0
1996;north carolina;73580.14438502674
1989;pennsylvania;73562.54545454546
2001;north carolina;73499.81926406927
1987;new jersey;73393.09090909091
2009;georgia;73284.36363636363
1998;north carolina;73022.37062937062
1999;georgia;72904.38383838383
1986;new jersey;72615.81818181818
2011;illinois;72545.18050065875
2003;north carolina;72347.45454545454
1994;north carolina;72311.42857142857
1992;north carolina;72191.36363636363
1991;north carolina;72131.45454545454
2000;north carolina;71996.34498834498
1999;north carolina;71995.98533724342
2015;new york;71738.85618181818
2005;north carolina;71729.76608784475
1992;new jersey;71721.68381932534
1994;pennsylvania;71697.0392413342
1993;pennsylvania;71662.4719832597
2011;georgia;71637.22994652406
2004;north carolina;71559.88873812754
2002;north carolina;71424.1348973607
1998;pennsylvania;71417.33536585367
1993;north carolina;71375.83636363636
2010;georgia;71367.8449197861
2001;georgia;70827.30769230769
2002;michigan;70794.99632908659
2000;georgia;70719.05714285714
2012;illinois;70230.73689839573
2002;georgia;70152.23167155425
1983;new jersey;70109.09090909091
1985;new jersey;70043.45454545454
2006;michigan;69560.27657684336
2003;michigan;69476.62521853147
1988;pennsylvania;69458.18181818182
2016;new york;69424.83162719633
2009;north carolina;69392.85260370697
1983;pennsylvania;69109.63636363637
2014;georgia;68947.67405764967
2013;georgia;68790.00797448166
1993;new jersey;68775.12272727273
1987;pennsylvania;68647.81818181818
2012;georgia;68573.41125541125
2013;ohio;68053.08797653958
1995;new jersey;67948.00544507576
1999;pennsylvania;67901.6898395722
2011;north carolina;67497.00568181818
2005;michigan;67060.8274674255
1986;pennsylvania;67050.54545454546
1994;new jersey;66982.91762315895
2000;pennsylvania;66884.50676982591
1984;new jersey;66343.63636363637
2017;new york;66207.57614046603
1984;pennsylvania;66202.54545454546
2010;north carolina;66161.67117988395
2001;pennsylvania;66154.20245003224
1990;north carolina;66116.0
2012;north carolina;66011.76394194041
2007;michigan;65876.65454545454
1987;georgia;65523.454545454544
1985;pennsylvania;65459.63636363636
2006;pennsylvania;65386.16490486258
2004;michigan;65372.446251422996
2014;ohio;65012.069963290865
2015;georgia;64742.11363636364
2005;pennsylvania;64220.203409090915
2008;pennsylvania;63880.89350649351
2004;pennsylvania;63748.36363636364
2002;pennsylvania;63718.66287878788
2018;new york;63647.37893273075
2013;illinois;63628.85386576041
2003;pennsylvania;63610.15485362095
2016;georgia;63417.72494172494
2002;arizona;63359.03470388532
1980;massachusetts;63314.72727272727
2008;michigan;63021.57507483851
1995;arizona;62992.2
1996;new jersey;62931.3153104345
2007;pennsylvania;62847.71212121212
